"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24508591166203","7.81443171889218","6.66662183020206","1.15446939174406","4.51406203251221","-0.364695778713454","-2.16445940890385","0.465289865491144","7.51947237328494","1.17669048367502","0.380390971382511","2.35511944298051","-3.65462624193272","-6.88130206359888","-5.65350208612952","","","","","","",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64947352511373","8.14974570911613","7.78846541379028","5.61878578419557","0.542203244600969","3.30379145669792","2.83857430718224","1.46300341337702","0.0415465175962453","2.20872814446003","-0.132468704037194","1.24646173311282","1.77011580714547","1.78468756916817","2.32143585364256","3.25332168107124","5.54712259348614","5.094324231523","4.8270302776809","3.78139347786568","2.54600064090229","0.929215382801402","-1.03149171388272","2.38319527748475","2.7574939772792","4.64974195875254","9.06767396402095","3.19478796475406","4.09908114794879","1.16578706437875","6.06678059681872","6.42684513850158","12.0239197396079","8.06950429074125","7.83970449604648","4.58531059335641","0.078039377902499","-8.59425600818136","-3.81798602402674","-5.34797718118854","-4.80267503725287","-1.76001032768896","-0.0635143126218196","","",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.44416322679218","1.05555578746555","11.1752702416587","5.55413762257501","13.7402049898513","3.61136839226168","21.0206487363678","8.43329048161792","6.11368516942299","14.4347412879524","1.95912289917285","1.31253090783336","",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80000000794205","7.90000000367507","5.59999998070748","0.400000018928679","-0.300000018689033","-1.19999999416713","-6.89999999409613","-24.6999999982102","3.50000000645207","10.4000000010498","11.1999999707573","7.90000002215511","6.80476210543175","3.23979967713839","3.01207616575117","4.22096515556321","13.8217925122883","","","","","","","","","","","","","",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563526610041","2.94859680232911","1.10493826600218","-1.25159664394278","1.78064395791647","5.63724319559964","-0.787842648708434","-1.42003967816672","9.83654899260358","-9.57564018741695","-29.5889976817695","-7.19999998650893","9.60000001192878","8.29999999672621","13.2999999863389","9.09999999999984","-10.8378557343801","9.00885253954449","13.501173375611","6.66662051466615","7.94033142118306","4.23137101197186","5.77349056968097","5.70955658121403","5.72081995256856","5.43101273397927","5.90000000000003","7.52999999999999","3.35000000000005","3.70999999999992","2.55000000000003","1.41999999999996","1.1100000000001","2.16999999999989","",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","12.6012251588983","8.29899839523239","1.67456213164026","10.283988083563","9.58606613171422","4.20051683169646","-3.64069654361057","-2.85658328093199","1.37314437762197","-0.709690551709315","0.41338832474645","0.122365197996771","4.3580366734473","1.9011935974538","9.73637016465989","1.39723326053895","4.89571138497983","3.61401930230056","3.53316906213801","2.73617650612745","4.79378688946146","4.25049092740608","4.71528451078787","2.22352674564405","4.96627831281022","2.35565447260846","1.7860876984064","5.21041169857239","9.13403199078418","6.22441824319799","7.22802902088435","5.7384901639401","6.33747878394053","1.4852082599198","4.69908857843875","3.46931760213016","6.61000244506201","2.83024373192762","2.22165014544402","",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268564875281","21.4393301622723","-1.58960330014777","20.9235730764525","23.8747748930488","4.65917666988996","-6.7193161877593","-4.74582069446204","4.0169512859422","-3.59447652685392","-14.9581365517104","3.38198171435916","-2.61890771950277","12.3378912971253","18.3279855121011","0.860081944630537","3.34494487252302","1.2611909522048","6.89614854507168","6.68788647127094","5.79840405138742","8.19039865220306","0.291994343877917","2.90221364978895","10.8527042037786","1.39908502781832","2.43345681395483","8.80054081702856","9.56643664256454","4.8551411953047","9.8373197726593","3.18439017418304","3.1918362705963","-5.24292190590633","1.63544905517254","5.2077989108447","6.89359562338316","4.32136025504781","4.57028972121714","",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287951257","-0.852021523481952","-5.30819682651754","10.1302976614339","10.569433340343","-0.65972617159396","3.19199662337057","4.82250078158644","9.67952600806881","3.04564331900352","5.65813108318032","1.62841651625489","2.81175404095775","5.53380439483236","-0.0284121027669499","-2.01825151667593","6.93414775537993","-4.50612480247692","10.2227634648727","4.15176234244558","-5.68952800019458","-4.9571785190403","3.87512342400922","2.21177350377224","-7.58667718413523","7.87577983041497","2.90999313057094","-2.55690487694628","-7.49618958372456","-2.39895921890113","12.6697100866108","11.9407747350581","5.90691950110394","5.83620069792465","-2.84520961517045","5.52668982269249","8.1110467739709","3.85017886550901","-3.38545705440345","-0.788998929008571","-4.40883969595698","-10.8944848114851","8.83704077566954","9.02957332125902","9.19848898286102","8.40286856609245","7.96557324797851","3.07494550317222","0.0500244563851311","9.45157833146635","8.38645145563733","0.801760179229973","2.88535188297459","0.45360547903708","",
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6999984817524","-41.8000027485614","-8.79999879239085","5.40000279013701","6.89999840719999","5.86540074820616","3.32107969582276","7.3","3.30000000000001","5.89999999999978","9.55664149553445","13.186300532067","14.0407950559649","10.4678418639969","13.8657112498155","13.1980035154758","13.7492019586216","6.90000000168239","-14.149988640087","2.1999999991457","4.69999999861844","7.20000000328227","3.3","3.49999999999989","",
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
